," =COUNTIF(A:A,A1)>1"
9cc1ad59-6590-6ce0-f4ad7edcc5c3,genie
32de3d82-30be-9dcc-2d30ef05feaa,genie
0591da4d-4740-519b-c32b384c4001,jproperties library installation issue 
b48dae78-db56-66a5-9cdcbbdf26e2,Union with Null
7c014d3d-3339-2ba7-e4b004161ec7,Spark ReadStream fails to infer schema
a03915a0-aa85-0b0c-f5b03389658c,Genie access Request
f5349dce-3f05-c2c9-ebaf031d3edc,Unable to execute Notebook commands
56abff21-2cff-b0cf-d6e3ea0fa4af,"ARR Customer CVS: Issue - Unable to grant read/list permission to Databricks service principal to KeyVault, Key Not Found"
9ab69f54-16b9-ea99-ac00134447b2,Create Delta Table Statements Fail Intermittently
f6d6d5f3-a0a0-90a4-0c13a8557b08,Databricks Cluster creation time increased post fail over from west to east 
9438391e-3d1e-4f38-fd9fb3f3a6b9,Genie for library installation issue
249b1bd3-27e1-8fcb-501a44d5a1f5,genie-not using a valid access token. Update the access token for the linked service
cbe18aeb-d627-8a9d-de0fb18a4d21,Disable delta feature
f02dfd29-9fb9-7947-b00d1999c37f,"Commands getting cancelled, spark mssqlconnector failing"
cd6bc15c-510a-8808-b50b91655608,How to export Hive metastore 
03f2cf32-bed2-1583-05e0c654871e,Metadata perfomance issue
b4185b3b-3f4f-ef10-57fa57995009,Continuation of  00143942  | The Databricks job fails frequently - 2204250010002866
be08e8db-736f-fd43-55321f90a097,Genie - 2205240040005232
cd1644f4-beb0-a80d-34fb87397836,Hitting rate limit of 100 nodes per minute.
a667cb2d-4d79-a1aa-edcf17761167,SQL Analytics Issue
93b234e1-f2ff-9bdb-a75a7df79339,Sev A ARR Adobe CSO - Critical Support Ticket - Jobs Failing with no Changes - Sev 1
3c36183e-9a11-054e-b344f95490c0,Jobs failing with 'File already exists'
eb96e6e3-eeed-7e2a-62a5a118c10b,genie
ab98ce9b-4b52-2000-d286962d21db,CASE NUMBER # 00142833 | 2203310040008004 - CosmosDBSpark failure on large files
c3961b39-7028-78d9-b26960f26f1b,2205180050001873genie
b8eef5b4-de63-bec1-d6917fd84a68,Upsert failing against destination table in Unity catalog
9d175394-c96f-f20e-2875defae58b,Databricks Attempts to Create Clusters in AZ's without support for requested nodes.
b8fa0d59-0209-b1b4-a0aa1f1733d4,genie for #2205310050001170
a3727de8-7fe8-ee83-0d09e746b092,Databricks job ran for hours without any progress
0047ce7e-b872-dd97-baa555a8375a,Facing import issue in job
82b87f0d-fb35-cffd-fcf61c420c79,QA-UAT Users status is inactive
659b8c49-9843-42d6-855a6a02f447, Model failing in existing workspace
80b3ce7a-a194-1ea7-a02e3e52f2f9,Failed Databricks notebooks
